SampleID;Line;Spot;SpotID;SpecimenID;Genus;Locality;Bone;tissueType;mmDist;maxDist;profilePerc;Other comm
PR002;L1;1;PR2-L1-1;ZPAL MgD-I/035;Protoceratops;Toogreek;rib;Cortex;0.181383704;1.90469131;9.522997403710526;
PR002;L1;2;PR2-L1-2;ZPAL MgD-I/035;Protoceratops;Toogreek;rib;Cortex;0.346328753;1.90469131;18.18293343292462;
PR002;L1;3;PR2-L1-3;ZPAL MgD-I/035;Protoceratops;Toogreek;rib;Cortex;0.514162516;1.90469131;26.99453256811467;
PR002;L1;4;PR2-L1-4;ZPAL MgD-I/035;Protoceratops;Toogreek;rib;Cortex;0.876460764;1.90469131;46.01589556262532;
PR002;L1;5;PR2-L1-5;ZPAL MgD-I/035;Protoceratops;Toogreek;rib;Cortex;1.073455655;1.90469131;56.35851066071174;
PR002;L1;6;PR2-L1-6;ZPAL MgD-I/035;Protoceratops;Toogreek;rib;Cortex;1.31722567;1.90469131;69.15691078571676;
PR002;L1;7;PR2-L1-7;ZPAL MgD-I/035;Protoceratops;Toogreek;rib;Spongy;1.629981329;1.90469131;85.57719145576404;
PR002;L1;8;PR2-L1-8;ZPAL MgD-I/035;Protoceratops;Toogreek;rib;Spongy;1.90469131;1.90469131;100.0;
PR002;L2;1;PR2-L2-1;ZPAL MgD-I/035;Protoceratops;Toogreek;rib;Cortex;0.075533233;0.914880547;8.256075970538697;
PR002;L2;2;PR2-L2-2;ZPAL MgD-I/035;Protoceratops;Toogreek;rib;Cortex;0.324453189;0.914880547;35.46399473285554;
PR002;L2;3;PR2-L2-3;ZPAL MgD-I/035;Protoceratops;Toogreek;rib;Cortex;0.602466575;0.914880547;65.85193848263123;
PR002;L2;4;PR2-L2-4;ZPAL MgD-I/035;Protoceratops;Toogreek;rib;Cortex;0.914880547;0.914880547;100.0;
PR002;L3;1;PR2-L3-1;ZPAL MgD-I/035;Protoceratops;Toogreek;rib;Cortex;0.078119229;0.864563433;9.035685065805922;
PR002;L3;2;PR2-L3-2;ZPAL MgD-I/035;Protoceratops;Toogreek;rib;Cortex;0.199994992;0.864563433;23.132483328149274;
PR002;L3;3;PR2-L3-3;ZPAL MgD-I/035;Protoceratops;Toogreek;rib;Cortex;0.342170576;0.864563433;39.57726673827529;
PR002;L3;4;PR2-L3-4;ZPAL MgD-I/035;Protoceratops;Toogreek;rib;Cortex;0.492715486;0.864563433;56.990090858954936;
PR002;L3;5;PR2-L3-5;ZPAL MgD-I/035;Protoceratops;Toogreek;rib;Spongy;0.864563433;0.864563433;100.0;
TS015;L1;1;T15-L1-1;ZPAL MgD-I/005;Tarbosaurus;Altan Uul;rib;Cortex;0.217878018;19.13102213;1.1388728554045113;
TS015;L1;2;T15-L1-2;ZPAL MgD-I/005;Tarbosaurus;Altan Uul;rib;Cortex;0.573080893;19.13102213;2.9955581521247234;
TS015;L1;3;T15-L1-3;ZPAL MgD-I/005;Tarbosaurus;Altan Uul;rib;Cortex;1.359148462;19.13102213;7.104421566000248;
TS015;L1;4;T15-L1-4;ZPAL MgD-I/005;Tarbosaurus;Altan Uul;rib;Cortex;1.597612455;19.13102213;8.350899623364764;
TS015;L1;5;T15-L1-5;ZPAL MgD-I/005;Tarbosaurus;Altan Uul;rib;Cortex;1.852870045;19.13102213;9.685159697214777;
TS015;L1;6;T15-L1-6;ZPAL MgD-I/005;Tarbosaurus;Altan Uul;rib;Cortex;2.185905373;19.13102213;11.425972737610335;
TS015;L1;7;T15-L1-7;ZPAL MgD-I/005;Tarbosaurus;Altan Uul;rib;Cortex;2.35980924;19.13102213;12.334987769939922;
TS015;L1;8;T15-L1-8;ZPAL MgD-I/005;Tarbosaurus;Altan Uul;rib;Cortex;2.589898938;19.13102213;13.537692447382058;
TS015;L1;9;T15-L1-9;ZPAL MgD-I/005;Tarbosaurus;Altan Uul;rib;Cortex;2.877061182;19.13102213;15.038721728769437;
TS015;L1;10;T15-L1-10;ZPAL MgD-I/005;Tarbosaurus;Altan Uul;rib;Cortex;3.197149192;19.13102213;16.711857684731033;
TS015;L1;11;T15-L1-11;ZPAL MgD-I/005;Tarbosaurus;Altan Uul;rib;Cortex;3.359624276;19.13102213;17.561133185516834;
TS015;L1;12;T15-L1-12;ZPAL MgD-I/005;Tarbosaurus;Altan Uul;rib;Cortex;3.697875112;19.13102213;19.329208271633526;
TS015;L1;13;T15-L1-13;ZPAL MgD-I/005;Tarbosaurus;Altan Uul;rib;Cortex;4.075110849;19.13102213;21.301061811065917;
